code,name
150101,内蒙古自治区呼和浩特市市辖区
150102,内蒙古自治区呼和浩特市新城区
150103,内蒙古自治区呼和浩特市回民区
150104,内蒙古自治区呼和浩特市玉泉区
150105,内蒙古自治区呼和浩特市郊区
150121,内蒙古自治区呼和浩特市土默特左旗
150122,内蒙古自治区呼和浩特市托克托县
150123,内蒙古自治区呼和浩特市和林格尔县
150124,内蒙古自治区呼和浩特市清水河县
150125,内蒙古自治区呼和浩特市武川县
150200,内蒙古自治区包头市
150201,内蒙古自治区包头市市辖区
150202,内蒙古自治区包头市东河区
150203,内蒙古自治区包头市昆都伦区
150204,内蒙古自治区包头市青山区
150205,内蒙古自治区包头市石拐矿区
150206,内蒙古自治区包头市白云矿区
150207,内蒙古自治区包头市郊区
150221,内蒙古自治区包头市土默特右旗
150222,内蒙古自治区包头市固阳县
150223,内蒙古自治区包头市达尔罕茂明安联合旗
150300,内蒙古自治区乌海市
150301,内蒙古自治区乌海市市辖区
150302,内蒙古自治区乌海市海勃湾区
150303,内蒙古自治区乌海市海南区
150304,内蒙古自治区乌海市乌达区
150400,内蒙古自治区赤峰市
150401,内蒙古自治区赤峰市市辖区
150402,内蒙古自治区赤峰市红山区
150403,内蒙古自治区赤峰市元宝山区
150404,内蒙古自治区赤峰市松山区
150421,内蒙古自治区赤峰市阿鲁科尔沁旗
150422,内蒙古自治区赤峰市巴林左旗
150423,内蒙古自治区赤峰市巴林右旗
150424,内蒙古自治区赤峰市林西县
150425,内蒙古自治区赤峰市克什克腾旗
150426,内蒙古自治区赤峰市翁牛特旗
150428,内蒙古自治区赤峰市喀喇沁旗
150429,内蒙古自治区赤峰市宁城县
150430,内蒙古自治区赤峰市敖汉旗
152100,内蒙古自治区呼伦贝尔市
152101,内蒙古自治区呼伦贝尔市海拉尔区
152102,内蒙古自治区呼伦贝尔市满洲里区
152103,内蒙古自治区呼伦贝尔市扎兰屯区
152104,内蒙古自治区呼伦贝尔市牙克石区
152105,内蒙古自治区呼伦贝尔市根河区
152106,内蒙古自治区呼伦贝尔市额尔古纳区
152122,内蒙古自治区呼伦贝尔市阿荣旗
152123,内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗
152127,内蒙古自治区呼伦贝尔市鄂伦春自治旗
152128,内蒙古自治区呼伦贝尔市鄂温克族自治旗
152129,内蒙古自治区呼伦贝尔市新巴尔虎右旗
152130,内蒙古自治区呼伦贝尔市新巴尔虎左旗
152131,内蒙古自治区呼伦贝尔市陈巴尔虎旗
152200,内蒙古自治区兴安盟
152201,内蒙古自治区兴安盟乌兰浩特市
152202,内蒙古自治区兴安盟阿尔山市
152221,内蒙古自治区兴安盟科尔沁右翼前旗
152222,内蒙古自治区兴安盟科尔沁右翼中旗
152223,内蒙古自治区兴安盟扎赉特旗
152224,内蒙古自治区兴安盟突泉县
152300,内蒙古自治区哲里木盟
152301,内蒙古自治区通辽市
150581,内蒙古自治区通辽市霍林郭勒市
152322,内蒙古自治区通辽市科尔沁左翼中旗
152323,内蒙古自治区通辽市科尔沁左翼后旗
150523,内蒙古自治区通辽市开鲁县
150524,内蒙古自治区通辽市库伦旗
150525,内蒙古自治区通辽市奈曼旗
150526,内蒙古自治区通辽市扎鲁特旗
152500,内蒙古自治区锡林郭勒盟
152501,内蒙古自治区锡林郭勒盟二连浩特市
152502,内蒙古自治区锡林郭勒盟锡林浩特市
152522,内蒙古自治区锡林郭勒盟阿巴嘎旗
152523,内蒙古自治区锡林郭勒盟苏尼特左旗
152524,内蒙古自治区锡林郭勒盟苏尼特右旗
152525,内蒙古自治区锡林郭勒盟东乌珠穆沁旗
152526,内蒙古自治区锡林郭勒盟西乌珠穆沁旗
152527,内蒙古自治区锡林郭勒盟太仆寺旗
152528,内蒙古自治区锡林郭勒盟镶黄旗
152529,内蒙古自治区锡林郭勒盟正镶白旗
152530,内蒙古自治区锡林郭勒盟正蓝旗
152531,内蒙古自治区锡林郭勒盟多伦县
150900,内蒙古自治区乌兰察布市
150902,内蒙古自治区乌兰察布市集宁区
150981,内蒙古自治区乌兰察布市丰镇市
150921,内蒙古自治区乌兰察布市卓资县
150922,内蒙古自治区乌兰察布市化德县
150923,内蒙古自治区乌兰察布市商都县
150924,内蒙古自治区乌兰察布市兴和县
150925,内蒙古自治区乌兰察布市凉城县
150926,内蒙古自治区乌兰察布市察哈尔右翼前旗
150927,内蒙古自治区乌兰察布市察哈尔右翼中旗
150928,内蒙古自治区乌兰察布市察哈尔右翼后旗
150929,内蒙古自治区乌兰察布市四子王旗
150600,内蒙古自治区鄂尔多斯市
150602,内蒙古自治区鄂尔多斯市东胜区
150621,内蒙古自治区鄂尔多斯市达拉特旗
150622,内蒙古自治区鄂尔多斯市准格尔旗
150623,内蒙古自治区鄂尔多斯市鄂托克前旗
150624,内蒙古自治区鄂尔多斯市鄂托克旗
150625,内蒙古自治区鄂尔多斯市杭锦旗
150626,内蒙古自治区鄂尔多斯市乌审旗
150627,内蒙古自治区鄂尔多斯市伊金霍洛旗
150800,内蒙古自治区巴彦淖尔市
150802,内蒙古自治区巴彦淖尔市临河区
150821,内蒙古自治区巴彦淖尔市五原县
